"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
,,,,,,4,PULSE_CNTR0,Pulse Counter0,,,
,,,,,,5,-,-,,,
L3,H1,GPIO21,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO21,GPIO21,,,
,,,,,,2,OSPI_D5,OSPI Data5,,,
,,,,,,3,QSPI1_CLK,QSPI1 Clock,,,
,,,,,,4,PULSE_CNTR1,Pulse Counter1,,,
,,,,,,5,-,-,,,
L4,J1,GPIO22,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO22,GPIO22,,,
,,,,,,2,OSPI_D6,OSPI Data6,,,
,,,,,,3,QSPI1_D0,QSPI1 Data0,,,
,,,,,,4,PULSE_CNTR2,Pulse Counter2,,,
,,,,,,5,-,-,,,
L5,J2,GPIO23,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO23,GPIO23,,,
,,,,,,2,OSPI_D7,OSPI Data7,,,
,,,,,,3,QSPI1_D1,QSPI1 Data1,,,
,,,,,,4,PULSE_CNTR3,Pulse Counter3,,,
,,,,,,5,-,-,,,
L6,J3,GPIO24,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO24,GPIO24,,,
,,,,,,2,OSPI_DQS,OSPI Data Strobe,,,
,,,,,,3,QSPI1_D2,QSPI1 Data2,,,
,,,,,,4,PULSE_CNTR4,Pulse Counter4,,,
,,,,,,5,-,-,,,
L7,J5,VSS,—,—,G,—,VSS,GND,,,
